id lang ,id marker,language,ISO,glottocode,geneological information,latitude,longitude,short link,pages,source,marking,strategy,productivity,collective,distributive,intRAoccasional,intERoccasional,number value
1,,Abun,kgr,abun1252,Abun,-0.57073,132.416,Berry & Berry 1999,NA,"Berry, Keith & Christine Berry. 1999. A description of Abun: a West Papuan language of Irian Jaya. (Pacific Linguistics: Series B, 115.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
2,,Akoye,miw,akoy1238,Angan,-7.66067,145.669,Whitney & Whitney 1991,NA,"Whitney, Henry & Virginia Whitney. 1991. Akoye language grammar essentials (Kaintibe District, Gulf Province, Papua New Guinea). Ms.",NA,,,,,,,
3,1,Tainae,ago,tain1253 ,Angan,-7.40306,145.682,Carlson 1991,107-109,"Carlson, Terry. 1991. Tainae Grammar Essentials. Ukarumpa, Papua New Guinea: Unpublished Typescript, The Summer Institute of Linguistics.",suffix asi,affixation,productive,?,?,repeated,iterative,NC
3,2,Tainae,ago,,Angan,-7.40306,145.682,Carlson 1991,129,"Carlson, Terry. 1991. Tainae Grammar Essentials. Ukarumpa, Papua New Guinea: Unpublished Typescript, The Summer Institute of Linguistics.",partial reduplication,reduplication,NC,---,---,multidirectional?,---,NC
4,,Menya,mcr,meny1245,Angan,-7.17425,146.071,Whitehead 2004,NA,"Whitehead, Carl R. 2004. A Reference Grammar of Menya, an Angan Language of Papua New Guinea. Ann Arbor: University of Manitoba dissertation.",NA,,,,,,,
5,3,Marind,mrz,nucl1622,Anim,-8.15651,140.009,Olsson 2021,423-433,"Olsson, Bruno. 2021. A grammar of Coastal Marind. (Mouton Grammar Library, 87.) Berlin: Mouton de Gruyter.","prefixes l-, e-, i-, o-, u-, ablaut, stem alternation",irregular stem alternation,20%,---,"S/P, spatial","repetitive, multidirectional",iterative,>1 (may be mass nouns)
5,4,Marind,mrz,nucl1622,Anim,-8.15651,140.009,Olsson 2021,244-252,"Olsson, Bruno. 2021. A grammar of Coastal Marind. (Mouton Grammar Library, 87.) Berlin: Mouton de Gruyter.",stem alternation,irregular stem alternation,16 verbs,S/P,S/P ,---,---,>1
6,5,Momu-Fas,fqs,fass1245,Baibai-Fas,-3.10868,141.64,Honeyman 2017,224-247,"Honeyman, Thomas. 2017. A grammar of Momu, a language of Papua New Guinea. Canberra: Australian National University dissertation.","stem alternation, irregular affixes",irregular stem alternation,30%,S/P,S/P ,repeated,---,>1
6,6,Momu-Fas,fqs,fass1245,Baibai-Fas,-3.10868,141.64,Honeyman 2017,274-275,"Honeyman, Thomas. 2017. A grammar of Momu, a language of Papua New Guinea. Canberra: Australian National University dissertation.",suffix -tu,affixation,NC,---,S/A total dispersive,---,---,NC (may be mass nouns)
7,,Mali,gcc,ali1284,Baining,-4.71826,152.214,Stebbins 2011,NA,"Stebbins, Tonya N. 2011. Mali (Baining) grammar. (Pacific Linguistics, 623.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
